lot_plan_010211_room2,13.56107688,36.72470924,0.000244611,ba/wc,
lot_plan_010211_room4,57.03745464,31.74777347,0.000105656,l,
lot_plan_010212_room1,15.33626899,19.26067181,7.71E-05,be,
lot_plan_010212_room2,19.93251275,17.6189376,7.92E-05,be,
lot_plan_010212_room3,5.118996879,18.2364238,5.06E-05,dgt,
lot_plan_010212_room4,3.068731621,12.97260806,0.000796864,wc,
lot_plan_010212_room5,8.577638182,15.20543726,0.000211114,ba,
lot_plan_010212_room6,47.13505803,20.85076948,6.46E-05,l,
lot_plan_010213_room1,15.77156537,11.71105993,0.000123396,be,
lot_plan_010213_room2,11.96746009,12.6614094,9.48E-05,be,
lot_plan_010213_room3,11.99099954,12.70114997,9.51E-05,be,
lot_plan_010213_room4,2.904898013,9.541796857,0.000902639,rgt,
lot_plan_010213_room5,36.2169061,11.46212151,7.08E-05,l,
lot_plan_010213_room6,5.808312717,19.85654447,0.000235711,ba,
lot_plan_010213_room7,2.424177151,8.824424709,0.000961114,wc,
lot_plan_010213_room8,11.9209616,19.3294265,0.000278476,dgt,
lot_plan_010214_room1,3.181201756,13.41405738,0.000874555,wc,
lot_plan_010214_room2,5.192651538,18.80896423,4.77E-05,dgt,
lot_plan_010214_room3,8.674136327,16.30994817,0.000233472,ba,
lot_plan_010214_room4,19.83586893,17.9877999,0.000113606,be,
lot_plan_010214_room5,15.27069821,19.01286574,8.54E-05,be,
lot_plan_010214_room6,47.0113305,19.54892784,0.000123657,l,
lot_plan_010215_room1,13.39554749,38.0229416,0.000197471,ba,
lot_plan_010215_room2,4.89323928,16.8987354,0.000142275,rgt,
lot_plan_010215_room3,50.91520505,27.19790262,0.000119959,l,
lot_plan_010215_room4,29.15179698,18.06996183,0.000121,be,
lot_plan_010216_room1,13.70966148,35.19573754,0.000225756,ba,
lot_plan_010216_room2,53.7511334,30.1670194,0.000111046,l,
lot_plan_010216_room3,30.37197386,20.97632658,0.000112568,be,
lot_plan_010217_room1,3.212535418,12.71145325,0.00089153,wc,
lot_plan_010217_room2,8.348371873,21.66774461,0.00021425,ba,
lot_plan_010217_room3,5.13011296,18.38137915,2.08E-05,i,
lot_plan_010217_room4,48.25850611,18.48807437,0.000140294,l,
