2717,165,3036,165,3036,239,2717,239
2710,236,3062,236,3062,308,2710,308
448,334,451,334,451,348,448,348
464,334,467,334,467,348,464,348
502,333,505,333,505,347,502,347
1427,330,1429,330,1428,340,1426,340
543,332,561,332,561,346,543,346
1243,336,1244,336,1245,344,1244,344
1441,332,1443,332,1442,342,1440,342
1386,338,1410,334,1412,345,1388,350
1965,330,2023,333,2022,349,1964,346
2024,333,2028,333,2027,349,2023,349
766,356,823,356,823,373,766,373
1364,362,1366,362,1364,374,1363,374
1619,360,1624,360,1624,377,1619,377
1691,358,1734,357,1734,375,1691,376
1876,364,1894,364,1894,375,1876,375
832,375,894,353,900,369,838,391
794,387,890,389,890,407,794,405
1354,390,1413,390,1413,401,1354,401
1803,389,1813,390,1812,400,1802,399
1229,416,1274,416,1274,433,1229,433
2803,381,3150,381,3150,489,2803,489
3116,549,3264,597,3260,611,3111,563
2307,567,2337,628,2328,633,2298,571
174,727,174,665,196,665,196,727
2738,698,2887,698,2887,723,2738,723
2977,698,3064,698,3064,723,2977,723
2703,614,2703,834,2688,834,2688,614
2801,758,2963,754,2963,766,2801,770
3032,785,3032,839,3009,839,3009,785
3032,853,3032,859,3009,859,3009,853
1581,840,1612,840,1612,856,1581,856
1614,840,1618,840,1618,856,1614,856
1621,840,1642,840,1642,856,1621,856
2956,838,2956,892,2945,892,2945,838
1255,955,1255,949,1278,947,1278,953
1255,945,1255,939,1278,937,1278,943
1254,937,1251,894,1275,892,1278,935
3142,946,3141,842,3155,842,3156,946
3032,931,3032,937,3009,937,3009,931
3236,970,3236,956,3245,956,3245,970
3236,956,3236,955,3244,955,3244,956
987,973,987,1008,966,1008,966,973
1260,1016,1260,1010,1283,1008,1283,1014
3143,1032,3148,987,3160,988,3155,1033
339,1021,346,1021,346,1047,339,1047
358,1021,365,1021,365,1047,358,1047
374,1021,381,1021,381,1047,374,1047
387,1021,417,1021,417,1047,387,1047
431,1021,438,1021,438,1047,431,1047
444,1021,451,1021,451,1047,444,1047
737,1019,745,1018,747,1048,739,1049
750,1018,758,1017,760,1047,752,1048
762,1017,796,1015,798,1045,764,1047
730,1051,739,1051,741,1085,732,1085
740,1050,749,1050,751,1084,742,1084
754,1050,763,1050,765,1084,756,1084
768,1049,787,1048,789,1083,770,1084
796,1048,805,1048,807,1082,798,1082
2401,1036,2397,1061,2385,1059,2389,1034
1263,1067,1263,1061,1286,1059,1286,1065
1802,1114,1802,1080,1819,1080,1819,1114
1802,1078,1802,1074,1819,1074,1819,1078
1802,1073,1802,1051,1819,1051,1819,1073
2365,1132,2358,1034,2366,1034,2373,1131
399,1105,407,1105,407,1136,399,1136
409,1105,417,1105,417,1136,409,1136
417,1105,475,1105,475,1136,417,1136
760,1107,768,1107,768,1136,760,1136
772,1107,780,1107,780,1136,772,1136
779,1107,806,1107,806,1136,779,1136
1189,1104,1197,1105,1193,1134,1185,1133
1201,1105,1209,1106,1205,1135,1197,1134
1210,1106,1229,1109,1225,1138,1206,1136
233,1164,237,1164,238,1182,234,1182
258,1162,262,1162,263,1180,259,1180
281,1161,285,1161,286,1179,282,1179
307,1159,311,1159,312,1177,308,1177
332,1157,336,1157,337,1175,333,1175
385,1162,391,1162,391,1185,385,1185
411,1162,417,1162,417,1185,411,1185
435,1162,441,1162,441,1185,435,1185
462,1162,494,1162,494,1185,462,1185
2663,1196,2780,1196,2780,1236,2663,1236
2693,1252,2751,1252,2751,1292,2693,1292
2910,1196,2960,1196,2960,1236,2910,1236
2964,1196,3009,1196,3009,1236,2964,1236
3024,1196,3064,1196,3064,1236,3024,1236
2960,1256,3008,1256,3008,1289,2960,1289
3141,1148,3196,1148,3196,1185,3141,1185
3208,1148,3242,1148,3242,1185,3208,1185
3253,1148,3375,1148,3375,1185,3253,1185
3216,1196,3296,1196,3296,1236,3216,1236
3245,1258,3273,1258,3273,1289,3245,1289
306,1280,411,1282,410,1321,305,1319
425,1283,435,1283,434,1321,424,1321
698,1282,804,1282,804,1322,698,1322
796,1282,801,1282,801,1322,796,1322
865,1282,892,1282,892,1322,865,1322
1058,1287,1132,1285,1133,1320,1059,1322
1141,1286,1150,1286,1151,1320,1142,1320
1156,1285,1243,1283,1244,1318,1157,1320
1597,1293,1694,1293,1694,1322,1597,1322
2087,1293,2147,1293,2147,1320,2087,1320
1458,1320,1458,1321,1450,1321,1450,1320
1458,1335,1458,1336,1450,1336,1450,1335
402,1341,410,1343,402,1371,394,1369
425,1347,433,1349,425,1377,417,1375
1459,1363,1459,1364,1451,1364,1451,1363
1459,1376,1459,1377,1451,1377,1451,1376
1802,1432,1802,1400,1820,1400,1820,1432
1802,1399,1802,1395,1820,1395,1820,1399
1802,1392,1802,1371,1820,1371,1820,1392
2328,1424,2328,1379,2346,1379,2346,1424
1254,1505,1254,1500,1276,1500,1276,1505
1254,1491,1254,1486,1276,1486,1276,1491
1254,1485,1254,1461,1276,1461,1276,1485
2362,1661,2361,1594,2369,1594,2370,1661
2361,1591,2361,1590,2369,1590,2369,1591
2360,1547,2359,1492,2367,1492,2368,1547
2650,1355,2741,1355,2741,1397,2650,1397
2746,1355,2757,1355,2757,1397,2746,1397
2771,1355,2870,1355,2870,1397,2771,1397
2642,1402,2832,1402,2832,1444,2642,1444
2841,1402,2852,1402,2852,1444,2841,1444
2854,1402,2877,1402,2877,1444,2854,1444
2891,1402,2993,1402,2993,1444,2891,1444
3010,1402,3049,1402,3049,1444,3010,1444
3051,1402,3062,1402,3062,1444,3051,1444
2648,1452,2775,1452,2775,1488,2648,1488
2794,1452,2804,1452,2804,1488,2794,1488
2647,1504,2775,1504,2775,1539,2647,1539
2790,1504,2799,1504,2799,1539,2790,1539
2646,1556,2711,1556,2711,1588,2646,1588
2725,1556,2761,1556,2761,1588,2725,1588
2768,1556,2821,1556,2821,1588,2768,1588
2641,1606,2693,1606,2693,1637,2641,1637
3194,1356,3222,1355,3223,1393,3195,1394
3227,1356,3237,1356,3238,1394,3228,1394
3242,1355,3263,1354,3264,1392,3243,1393
3275,1354,3325,1353,3326,1391,3276,1392
3210,1402,3220,1402,3220,1440,3210,1440
3226,1402,3236,1402,3236,1440,3226,1440
3237,1402,3264,1402,3264,1440,3237,1440
3276,1402,3324,1402,3324,1440,3276,1440
3195,1452,3225,1451,3226,1491,3196,1492
3225,1451,3236,1451,3237,1491,3226,1491
3236,1450,3266,1449,3267,1490,3237,1491
3272,1449,3324,1447,3325,1487,3273,1489
3211,1500,3222,1500,3222,1540,3211,1540
3228,1500,3239,1500,3239,1540,3228,1540
3239,1500,3269,1500,3269,1540,3239,1540
3275,1500,3327,1500,3327,1540,3275,1540
3209,1551,3220,1551,3220,1592,3209,1592
3226,1551,3237,1551,3237,1592,3226,1592
3237,1551,3267,1551,3267,1592,3237,1592
3273,1551,3327,1551,3327,1592,3273,1592
3213,1603,3223,1603,3224,1641,3214,1641
3224,1603,3234,1603,3235,1641,3225,1641
3238,1602,3266,1601,3267,1640,3239,1641
3277,1601,3325,1599,3326,1637,3278,1639
293,1603,398,1621,392,1656,287,1637
1067,1615,1071,1615,1071,1632,1067,1632
1090,1615,1094,1615,1094,1632,1090,1632
1116,1615,1120,1615,1120,1632,1116,1632
