Model,Training_acc,Testing_acc
relu layer:2,0.7871720116618075,0.7675675675675675
sigmoid layer:3 h_para:5,0.809402332361516,0.7716216216216215
relu layer:3 h_para:5,0.8199708454810496,0.7662162162162163
sigmoid layer:3 h_para:10,0.815597667638484,0.7770270270270271
relu layer:3 h_para:10,0.8345481049562682,0.7675675675675676
sigmoid layer:3 h_para:30,0.8254373177842566,0.7797297297297298
relu layer:3 h_para:30,0.8637026239067056,0.7837837837837838
sigmoid layer:3 h_para:50,0.8301749271137027,0.7783783783783784
relu layer:3 h_para:50,0.870262390670554,0.7837837837837838
sigmoid layer:3 h_para:100,0.8349125364431488,0.7810810810810811
relu layer:3 h_para:100,0.8779154518950437,0.7864864864864864
"sigmoid layer:4 h_para:[5, 5]",0.7940962099125364,0.7243243243243243
"relu layer:4 h_para:[5, 5]",0.8316326530612245,0.745945945945946
"sigmoid layer:4 h_para:[5, 10]",0.8170553935860059,0.7662162162162163
"relu layer:4 h_para:[5, 10]",0.8370991253644314,0.7635135135135136
"sigmoid layer:4 h_para:[10, 5]",0.7962827988338192,0.7540540540540541
"relu layer:4 h_para:[10, 5]",0.8418367346938775,0.745945945945946
"sigmoid layer:4 h_para:[10, 10]",0.8174198250728864,0.7648648648648648
"relu layer:4 h_para:[10, 10]",0.8524052478134111,0.772972972972973
"sigmoid layer:4 h_para:[10, 30]",0.8225218658892128,0.7770270270270271
"relu layer:4 h_para:[10, 30]",0.8801020408163265,0.7675675675675676
"sigmoid layer:4 h_para:[30, 10]",0.8323615160349854,0.7594594594594595
"relu layer:4 h_para:[30, 10]",0.8746355685131195,0.7716216216216217
"sigmoid layer:4 h_para:[30, 30]",0.8392857142857143,0.7648648648648648
"relu layer:4 h_para:[30, 30]",0.8892128279883382,0.7770270270270271
"sigmoid layer:4 h_para:[30, 50]",0.8381924198250729,0.7662162162162163
"relu layer:4 h_para:[30, 50]",0.8946793002915452,0.772972972972973
"sigmoid layer:4 h_para:[50, 30]",0.8451166180758017,0.7635135135135135
"relu layer:4 h_para:[50, 30]",0.8954081632653061,0.7716216216216217
"sigmoid layer:4 h_para:[50, 50]",0.8502186588921283,0.7648648648648648
"relu layer:4 h_para:[50, 50]",0.9052478134110788,0.7527027027027027
"sigmoid layer:4 h_para:[50, 100]",0.8491253644314869,0.7783783783783784
"relu layer:4 h_para:[50, 100]",0.9165451895043732,0.7567567567567568
"sigmoid layer:4 h_para:[100, 50]",0.8618804664723032,0.777027027027027
"relu layer:4 h_para:[100, 50]",0.9074344023323616,0.7567567567567567
"sigmoid layer:4 h_para:[100, 100]",0.8658892128279883,0.7824324324324324
"relu layer:4 h_para:[100, 100]",0.9220116618075801,0.7567567567567568
