Model,Training_acc,Testing_acc
"C=0.5,sigma=0.001,RBF kernel",0.9650145772594753,0.5081081081081081
"C=0.5,Linear kernel",0.739067055393586,0.745945945945946
"C=0.5,sigma=0.005,RBF kernel",0.9008746355685131,0.772972972972973
"C=0.5,Linear kernel",0.739067055393586,0.745945945945946
"C=0.5,sigma=0.01,RBF kernel",0.8877551020408163,0.7891891891891892
"C=0.5,Linear kernel",0.739067055393586,0.745945945945946
"C=0.5,sigma=0.05,RBF kernel",0.8513119533527697,0.7621621621621621
"C=0.5,Linear kernel",0.739067055393586,0.745945945945946
"C=0.5,sigma=0.1,RBF kernel",0.8221574344023324,0.7621621621621621
"C=0.5,Linear kernel",0.739067055393586,0.745945945945946
"C=0.5,sigma=0.5,RBF kernel",0.7653061224489796,0.745945945945946
"C=0.5,Linear kernel",0.739067055393586,0.745945945945946
"C=1,sigma=0.001,RBF kernel",0.9723032069970845,0.5837837837837838
"C=1,Linear kernel",0.7536443148688047,0.7621621621621621
"C=1,sigma=0.005,RBF kernel",0.9300291545189504,0.7351351351351352
"C=1,Linear kernel",0.7536443148688047,0.7621621621621621
"C=1,sigma=0.01,RBF kernel",0.9169096209912536,0.7675675675675676
"C=1,Linear kernel",0.7536443148688047,0.7621621621621621
"C=1,sigma=0.05,RBF kernel",0.8717201166180758,0.7243243243243244
"C=1,Linear kernel",0.7536443148688047,0.7621621621621621
"C=1,sigma=0.1,RBF kernel",0.8483965014577259,0.7405405405405405
"C=1,Linear kernel",0.7536443148688047,0.7621621621621621
"C=1,sigma=0.5,RBF kernel",0.8104956268221575,0.7513513513513513
"C=1,Linear kernel",0.7536443148688047,0.7621621621621621
"C=3,sigma=0.001,RBF kernel",0.9868804664723032,0.5945945945945946
"C=3,Linear kernel",0.8046647230320699,0.745945945945946
"C=3,sigma=0.005,RBF kernel",0.9504373177842566,0.7351351351351352
"C=3,Linear kernel",0.8046647230320699,0.745945945945946
"C=3,sigma=0.01,RBF kernel",0.9373177842565598,0.7567567567567568
"C=3,Linear kernel",0.8046647230320699,0.745945945945946
"C=3,sigma=0.05,RBF kernel",0.9008746355685131,0.7297297297297297
"C=3,Linear kernel",0.8046647230320699,0.745945945945946
"C=3,sigma=0.1,RBF kernel",0.8717201166180758,0.7891891891891892
"C=3,Linear kernel",0.8046647230320699,0.745945945945946
"C=3,sigma=0.5,RBF kernel",0.8294460641399417,0.7243243243243244
"C=3,Linear kernel",0.8046647230320699,0.745945945945946
"C=5,sigma=0.001,RBF kernel",0.9927113702623906,0.6702702702702703
"C=5,Linear kernel",0.8090379008746356,0.7297297297297297
"C=5,sigma=0.005,RBF kernel",0.9635568513119533,0.7567567567567568
"C=5,Linear kernel",0.8090379008746356,0.7297297297297297
"C=5,sigma=0.01,RBF kernel",0.9416909620991254,0.7513513513513513
"C=5,Linear kernel",0.8090379008746356,0.7297297297297297
"C=5,sigma=0.05,RBF kernel",0.902332361516035,0.7675675675675676
"C=5,Linear kernel",0.8090379008746356,0.7297297297297297
"C=5,sigma=0.1,RBF kernel",0.8790087463556852,0.745945945945946
"C=5,Linear kernel",0.8090379008746356,0.7297297297297297
"C=5,sigma=0.5,RBF kernel",0.8294460641399417,0.7027027027027027
"C=5,Linear kernel",0.8090379008746356,0.7297297297297297
"C=10,sigma=0.001,RBF kernel",0.9956268221574344,0.6594594594594595
"C=10,Linear kernel",0.8192419825072886,0.6594594594594595
"C=10,sigma=0.005,RBF kernel",0.9708454810495627,0.7405405405405405
"C=10,Linear kernel",0.8192419825072886,0.6594594594594595
"C=10,sigma=0.01,RBF kernel",0.9533527696793003,0.745945945945946
"C=10,Linear kernel",0.8192419825072886,0.6594594594594595
"C=10,sigma=0.05,RBF kernel",0.9110787172011662,0.7783783783783784
"C=10,Linear kernel",0.8192419825072886,0.6594594594594595
"C=10,sigma=0.1,RBF kernel",0.8979591836734694,0.772972972972973
"C=10,Linear kernel",0.8192419825072886,0.6594594594594595
"C=10,sigma=0.5,RBF kernel",0.8469387755102041,0.6918918918918919
"C=10,Linear kernel",0.8192419825072886,0.6594594594594595
